# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8936892419239386,2.75103332024846,0.8031939099654786,0,3.0,-0.002538093467554251,-179.61287224584908,0.0,-0.00007548626627595398
 0.007887846716458674,1.8937825599427294,2.751034628501444,0.8031939099654786,0.023663540149376022,3.0,-0.002538093467554251,-179.61287284127317,-0.003435061122488128,-0.00022704864770223526
 0.015754787406867535,1.8940615253325175,2.751038539268387,0.80316688654336,0.0472643622206026,2.9999999999999996,-0.0014105586934277591,-179.61287462745142,-0.0038170047609907723,-0.0003793847847761472
 0.02360078040359038,1.8945246550934258,2.7510450315612727,0.8031369383507367,0.07080234121077114,3.0,-0.0009647234203078073,-179.61287760410178,-0.003907598541193807,-0.0005324793098170588
 0.03142578381696608,1.8951704662255784,2.7510540843920857,0.8031063613788139,0.09427735145089822,2.9999999999999987,-0.0007364372423717277,-179.6128817707542,-0.003966401551172817,-0.0006863167501574427
 0.039229755533410404,1.895997475729098,2.7510656767728094,0.8030754076932924,0.1176892666002312,3.0,-0.0005934076238650965,-179.6128871267507,-0.004016978269076008,-0.0008408815189853586
 0.047012653213571745,1.8970042006041086,2.7510797877154283,0.8030441439624407,0.14103795964071522,3.0,-0.0005020505170024554,-179.61289367124553,-0.00406479746202509,-0.0009961579206789496
 0.05477443429041773,1.898189157850733,2.751096396231927,0.8030125938944188,0.16432330287125316,2.9999999999999982,-0.0004367585725271971,-179.61290140320523,-0.00411169673678126,-0.001152130148866376
 0.06251505596732643,1.8995508644690948,2.751115481334289,0.8029807668055292,0.18754516790197925,3.0,-0.00038702747559981514,-179.61291032140883,-0.004158426089919146,-0.0013087822918073282
 0.07023447521614612,1.9010878374593174,2.751137022034499,0.8029486661711259,0.21070342564843833,3.0,-0.00034790219875153945,-179.61292042444805,-0.004205363338277026,-0.0014660983378498448
 0.07793264877523158,1.9027985938215242,2.7511609973445412,0.8029162925542689,0.2337979463256947,2.9999999999999982,-0.00031727238429531904,-179.6129317107275,-0.004252699321443497,-0.0016240621550480498
 0.08560953314746211,1.9046816505558384,2.7511873862764,0.8028836450733082,0.2568285994423863,2.9999999999999982,-0.0002910986098522157,-179.6129441784649,-0.004300562571120285,-0.0017826575558158033
 0.09326508459823594,1.9067355246623836,2.751216167842059,0.8028507218952777,0.27979525379470777,2.9999999999999982,-0.00027049793690791277,-179.61295782569152,-0.0043490183899028804,-0.0019418681951190802
 0.10089925915343934,1.9089587331412832,2.7512473210535027,0.8028175207297454,0.30269777746031795,3.0000000000000018,-0.0002528125638636272,-179.6129726502523,-0.004398131403701551,-0.002101677672278258
 0.10851201259739346,1.91134979299266,2.751280824922716,0.8027840388397549,0.3255360377921803,3.0,-0.00023843708645288877,-179.61298864980623,-0.004447941845647507,-0.0022620694734858237
 0.1161033004707836,1.9139072212166381,2.7513166584616817,0.8027502732327606,0.34830990141235074,3.0,-0.00022572825378810811,-179.6130058218268,-0.0044984758286631754,-0.0024230270109603606
 0.12367307806854982,1.9166295348133404,2.751354800682385,0.8027162207712086,0.3710192342056494,3.0,-0.00021368752818883458,-179.61302416360238,-0.004549765934982884,-0.0025845335799093766
 0.13122130043777094,1.9195152507828908,2.75139523059681,0.8026818781262035,0.39366390131331275,2.9999999999999964,-0.0002036573882597519,-179.61304367223656,-0.00460184136855643,-0.0027465724091532717
 0.13874792237550745,1.9225628861254118,2.7514379272169402,0.8026472418060049,0.4162437671265223,3.0,-0.00019521316582479158,-179.6130643446487,-0.004654712648694408,-0.002909126629284202
 0.14625289842663472,1.9257709578410278,2.7514828695547613,0.8026123082990516,0.4387586952799041,3.0,-0.00018699346762369955,-179.6130861775744,-0.004708416941081381,-0.0030721793048368025
 0.15373618288163493,1.9291379829298614,2.751530036622256,0.8025770738757487,0.46120854864490474,3.0000000000000036,-0.00018000464540897653,-179.61310916756602,-0.004762963323049835,-0.003235713375577265
 0.16119772977437782,1.9326624783920363,2.7515794074314095,0.8025415348015654,0.48359318932313344,3.0000000000000036,-0.00017359092659919567,-179.6131333109931,-0.004818378569804043,-0.0033997117533887127
 0.1686374928798644,1.9363429612276757,2.751630960994205,0.8025056872064535,0.5059124786395932,3.0000000000000036,-0.00016768839983823293,-179.61315860404318,-0.00487467831461031,-0.003564157236931377
 0.17605542571195068,1.940177948436903,2.751684676322628,0.8024695271701376,0.5281662771358521,3.0000000000000036,-0.00016259871225370292,-179.61318504272217,-0.004931890224906713,-0.00372903256312541
 0.18345148152104043,1.9441659570198417,2.7517405324286615,0.80243305063479,0.5503544445631213,3.0,-0.0001575315091337127,-179.61321262285512,-0.0049900250396909375,-0.003894320374738683
 0.19082561329175318,1.9483055039766153,2.7517985083242906,0.8023962535326081,0.5724768398752595,2.9999999999999964,-0.00015343919199782682,-179.61324134008672,-0.005049113837436574,-0.0040600032840277835
 0.19817777374056147,1.9525951063073466,2.7518585830214985,0.802359131637551,0.5945333212216845,3.000000000000004,-0.0001501466315953296,-179.61327118988228,-0.005109167677532229,-0.004226063786288474
 0.20550791531340498,1.9570332810121596,2.751920735532271,0.8023216807151553,0.616523745940215,3.0,-0.00014596555899620234,-179.61330216752813,-0.005170217601080842,-0.0043924843429562965
 0.2128159901832691,1.9616185450911774,2.7519849448685902,0.8022838963778332,0.6384479705498073,2.9999999999999925,-0.00014255141536540116,-179.61333426813258,-0.0052322760351135,-0.0045592473218623785
